Cadeau,14/09/2023,15,Loisir,cadeau Suzie
SNCF,01/10/2023,-8.45,Transport,Reste 5 ticket paris
SNCF,01/10/2023,-7.2,Transport,Reste 8 ticket Rouen
SNCF,01/10/2023,8.45,Transport,Consomation 5 ticket paris
SNCF,01/10/2023,1.8,Transport,Consomation 2 ticket Rouen
SNCF,01/10/2023,16.99,Transport,retour Paris → Rouen
Lidl ,03/10/2023,65.82,Nourriture,Course +Saladier
E.leclerc,05/10/2023,28.41,Nourriture,N/A
E.leclerc,05/10/2023,6.1,Vie quotidienne,N/A
E.leclerc,06/10/2023,0.68,Nourriture,N/A
E.leclerc,06/10/2023,8.77,Vie quotidienne,N/A
Action,07/10/2023,7.59,Vie quotidienne,N/A
Pharmacie,07/10/2023,18.98,Santé,bouillotte
IZLY,08/10/2023,40,Nourriture,N/A
E.leclerc,10/10/2023,7.24,Nourriture,N/A
SNCF,13/10/2023,9.3,Transport,Rouen → Bernay
SNCF,14/10/2023,9.3,Transport,Bernay → Rouen
Lidl ,16/10/2023,33.31,Nourriture,course
Lidl ,16/10/2023,11.99,Nourriture,mixeur
BDE,18/10/2023,10,Loisir,Anal
laverie,19/10/2023,3,Vie quotidienne,laverie
Cadeau,21/10/2023,18,Loisir,cadeau Océane
Médecin,21/10/2023,0,Santé,aptitude sportive (avec mutuel)
SNCF,21/10/2023,16.99,Transport,Rouen → Paris
SNCF,22/10/2023,16.99,Transport,Paris → Rouen
IZLY,27/10/2023,3.3,Nourriture,1 repas
SNCF,29/10/2023,22.4,Transport,Le Mans → Bernay
SNCF,05/11/2023,9.3,Transport,Bernay → Rouen
Lidl ,06/11/2023,42.37,Nourriture,N/A
IZLY,06/11/2023,40,Nourriture,N/A
Aldi,10/11/2023,2.12,Nourriture,œufs
Action,11/11/2023,2.87,Vie quotidienne,Couteau + sac poubelle 5L
Leclerc Brico,11/11/2023,5.5,Vie quotidienne,colle néoprène
Laverie,11/11/2023,3,Vie quotidienne,1 machine
Aldi,14/11/2023,6.46,Nourriture,course
SNCF,17/11/2023,14.59,Transport,Rouen → Paris
Buble tea,17/11/2023,4.9,Nourriture,N/A
SNCF,18/11/2023,1.69,Transport,Metro ¨Paris
Restau,18/11/2023,12.9,Nourriture,Restaurant koreen
SNCF,19/11/2023,16.99,Transport,Paris → Rouen
Lidl ,21/11/2023,37.05,Nourriture,Course
Lidl ,22/11/2023,2.8,Nourriture,Course
Lidl ,22/11/2023,65,Vie quotidienne,Four
Leclerc Brico,22/11/2023,5.25,Vie quotidienne,Scotch double face
Laverie,23/11/2023,6,Vie quotidienne,2 marchines
Amazon,24/11/2023,24.98,Vie quotidienne,Stylet + moule a gateau + anti projection +cable hdlmi + protection PC
Amazon,24/11/2023,6.99,Loisir,Stylet + moule a gateau + anti projection +cable hdlmi + protection PC
Jules,24/11/2023,48.99,Vêtement,Pijama + jean
SNCF,24/11/2023,16.99,Transport,Rouen → Paris
SNCF,25/11/2023,5.07,Transport,3 ticket paris
Restau,25/11/2023,6.5,Nourriture,Restaurant pizza suz ariane pau
SNCF,26/11/2023,15.19,Transport,Paris → Rouen
IZLY,26/11/2023,20,Nourriture,Repas Izly
E.leclerc,28/11/2023,8.52,Nourriture,2 tuperware four 
E.leclerc,28/11/2023,3.05,Nourriture,Crème + feuille
SNCF,01/12/2023,10.29,Transport,Rouen → Paris
Aldi,01/12/2023,6.73,Nourriture,Course
Cadeau,02/12/2023,18.99,Loisir,cadeau luca et mateo
Cadeau,02/12/2023,4.9,Loisir,secret santa
SNCF,02/12/2023,5.18,Transport,2ticket paris
SNCF,03/12/2023,16.99,Transport,Paris → Rouen
Aldi,06/12/2023,16.97,Nourriture,Course
IZLY,06/12/2023,80,Nourriture,Repas Izly
Laverie,07/12/2023,3,Vie quotidienne,1 marchine
Action,08/12/2023,1.79,Vie quotidienne,Bougies 
Leclerc,12/12/2023,35.2,Nourriture,N/A
SNCF,15/12/2023,10.29,Transport,Rouen → Paris
SNCF,16/12/2023,3.38,Transport,2 ticket paris
Cadeau,16/12/2023,30.8,Loisir,1 petite / 1 grand praluline + chocolat grand parents pauline
Leroy Merlin,16/12/2023,6.9,Loisir,cadre cadeau émilien
Sosengrene,16/12/2023,2.41,Loisir,Carte + referme sac
SNCF,17/12/2023,16.99,Transport,Paris → Rouen
Laverie,20/12/2023,3,Vie quotidienne,1 marchine
SNCF,23/12/2023,9.3,Transport,Rouen → Bernay
SNCF,27/12/2023,9.39,Transport,Bernay → Paris
Cadeau,28/12/2023,24.6,Loisir,Pralus chocolat cadeau
Cabaia,28/12/2023,99,Vêtement,Sac à dos cabaia
Cadeau,28/12/2023,0,Loisir,Cadeau noel mami (partage avec Pauline)
Cadeau,28/12/2023,0,Loisir,Cadeau noel Grand parent Pauline + parent Pauline (partage avec Pauline)
Cadeau,28/12/2023,-88.35,Loisir,Cadeau noel odile
Cadeau,28/12/2023,-100,Loisir,Cadeau noel papa
Cadeau,28/12/2023,-50,Loisir,Cadeau noel Grand Parent Pauline
Epargne,28/12/2023,238.35,Loisir,Epargne noel
Epargne,28/12/2023,-238.35,Epargne,Epargne noel
SNCF,28/12/2023,3.38,Transport,2 tickets metro paris
SNCF,28/12/2023,3.38,Transport,2 tickets metro paris
Cadeau,31/12/2023,57.92,Loisir,Cadeau noel 
Restaurant,01/01/2024,11,Nourriture,Repas nouvel an
SNCF,08/01/2024,10.29,Transport,Paris → Rouen
Leclerc,09/01/2024,29.55,Nourriture,Course leclerc
Aldi,09/01/2024,36.83,Nourriture,Course leclerc
INSA,10/01/2024,0.45,Nourriture,café
Laverie,11/01/2024,3,Vie quotidienne,Machine a laver
Leclerc,11/01/2024,20.89,Nourriture,N/A
Cadeau,11/01/2024,14.19,Loisir,Jeu + tasse secret santa Yann
La poste,11/01/2024,18.38,Loisir,12 timbre
Lidl,13/01/2024,41.71,Nourriture,difuseur +course
Leclerc,13/01/2024,25.96,Vie quotidienne,pomo douche + porte manteau + chausson +envelope
Jules,14/01/2024,64.99,Vêtement,Blouson jules + boxer
Leclerc,15/01/2024,13.47,Nourriture,Course
Leclerc,16/01/2024,5.75,Vie quotidienne,raclette vitre + scotch
SNCF,19/01/2024,5.9,Transport,Rouen -> Bernay
SNCF,26/01/2024,17.89,Transport,Bernay -> Paris
Cadeau,27/01/2024,23.33,Loisir,Cadeau Adrien
Course,27/01/2024,2,Nourriture,Chichis
Course,28/01/2024,4.35,Nourriture,Sauce piquante
SNCF,28/01/2024,1.69,Transport,N/A
SNCF,28/01/2024,5.205,Transport,N/A
SNCF,28/01/2024,16.99,Transport,Paris -> Rouen
Aldi,29/01/2024,9.31,Nourriture,course + crepière
Amazon,30/01/2024,84.26,Loisir,coque pc + boiter hdmi et autre
Eleclerc,30/01/2024,14.28,Nourriture,N/A
Laverie,30/01/2024,3,Vie quotidienne,N/A
Cadeau,01/02/2024,15,Loisir,Cadeau Pauline
Eleclerc,02/02/2024,2.18,Nourriture,N/A
Aldi,04/02/2024,15.29,Nourriture,N/A
IZLY,06/02/2024,20,Nourriture,recharge cantine
Aldi,09/02/2024,15.8,Nourriture,Course végétarienne
SNCF,09/02/2024,17.035,Transport,N/A
SNCF,10/02/2024,3.47,Transport,N/A
Restaurant,10/02/2024,5.7,Nourriture,N/A
SNCF,11/02/2024,17.035,Transport,N/A
Laverie,13/02/2024,3,Vie quotidienne,Machine linge
Leclerc,13/02/2024,28.27,Nourriture,N/A
IZLY,15/02/2024,20,Nourriture,recharge cantine
Lidl,16/02/2024,27.79,Nourriture,course
Lidl,16/02/2024,44.98,Vie quotidienne,thermomètre + banc
Buble tea,22/02/2024,5.5,Nourriture,N/A
INSA,23/02/2024,1.55,Nourriture,distributeur
SNCF,23/02/2024,15.235,Transport,Rouen -> Paris
SNCF,24/02/2024,6.94,Transport,N/A
Casino,25/02/2024,6.28,Nourriture,Course pour gougou
INSA inté,27/02/2024,14.5,Loisir,cagnotte inté
SNCF,29/02/24,18.835,Transport,Paris -> Bernay
SNCF,06/03/2024,18.835,Transport,Bernay -> Paris
Prixtel,01/03/2024,0.5,Vie quotidienne,difference forfait téléphone
Carfour,06/03/2024,3.57,Nourriture,Chips
Larnicol ,06/03/2024,3.4,Nourriture,Cougnamane
Manger et cassez vous,06/03/2024,5,Nourriture,Burger
SNCF,07/02/2024,10.41,Transport,N/A
SNCF,09/03/2024,16.135,Transport,Paris -> Rouen
Cadeau,11/03/2024,10,Loisir,Cadeau Anouk
Cadeau,10/03/2024,15,Loisir,Cadeau Léandre
Aldi,10/03/2024,3.67,Nourriture,Course
Aldi,11/03/2024,20.9,Nourriture,Course
IZLY,14/03/2024,20,Nourriture,N/A
SNCF,15/03/2024,15.235,Transport,Rouen -> Paris
Monoprix,15/03/2024,4.73,Nourriture,chips
Restaurant,16/03/2024,5.5,Nourriture,banh mi
Restaurant,17/03/2024,4.2,Nourriture,Chocolat chaud
SNCF,17/03/2024,15.235,Transport,Pars -> Rouen
SNCF,17/03/2024,1.735,Transport,N/A
Aldi,18/03/2024,25.49,Nourriture,Course
Laverie,18/03/2024,3,Vie quotidienne,N/A
Aldi,20/03/2024,13.52,Nourriture,Course
Aldi,19/03/2024,5.85,Nourriture,Course
Loisir,23/03/2024,35,Loisir,Gala
IZLY,22/03/2024,20,Nourriture,izly
Cadeau,25/03/2024,6,Loisir,Anniversaire emilie chez Ariane
Leclerc,28/03/2024,12.89,Nourriture,N/A
Pharmacie,29/03/2024,4.36,Santé,Doliprane (16)
IZLY,02/04/2024,16.7,Nourriture,izly sans sandwitch Pauline
Aldi,02/04/2024,32.23,Nourriture,N/A
Aldi,03/04/2024,6.48,Nourriture,fruits
Parmacie,04/04/2024,30.1,Santé,sirop serum phy ...
Leclerc,04/04/2024,28.8,Nourriture,Course
Laverie,04/04/2024,3,Vie quotidienne,machine
Aldi,05/04/2024,2.65,Nourriture,quiche poireau
Aldi,08/04/2024,11.41,Nourriture,Course
Leclerc,10/04/2024,28.71,Nourriture,Course
Lidl,11/04/2024,20.96,Nourriture,Course + plaque de cuisson
